4x9e:A:A1	A_A H69 H117 D268
2aqx:A:A1_A2	A_A G874 S876 D893:A_A D893 K896
1mum:A:A1	A_A D58 D87
1fp6:A:A1	A_A S16 D43
4v19:P:P1	P_P R44 G46 R47
3gn6:A:A1	A_A H282 H286 E308
1e0j:B:B1	B_B S319 D424
2ddt:A:A1	A_A F55 N57 E99 D100
3e5z:A:A1	A_A E31 N118 N175 D221
2bon:A:A1	A_A L215 D218 L220
4s1h:A:A1	A_A D111 T141
1fiu:A:A1	A_A D140 C186
4g75:A:A1	A_A V211 E213 D241
2jih:B:B1	B_B H439 D530 N542
3l12:A:A1	A_A E49 D51 E148
3vpm:A:A1	A_A R78 V81 T156
4x04:A:A1	A_A D73 S197
4neu:A:A1	A_A S14 F17 L18
1xx1:A:A1	A_A E32 D34 D91
3na8:A:A1	A_A V175 V178 D179 V181
3t5p:A:A1	A_A K216 D219 T221
2oi2:A:A1	A_A S92 D135
4z8n:B:B1_B2	B_B Y243 E245 N246:B_B Y254 H258 S359
1n2g:B:B1	B_B K160 D161
3b8i:A:A1	A_A D61 D88 D90
3r7w:B:B1	B_B S23 T44 E62
3ae0:A:A1_A2	A_A N168 D172:A_A D48 D49 D52
3qe6:A:A1	A_A V71 E72 G74 Q76 E81
4p0p:A:A1	A_A D274 E277 D307
3zjc:A:A1	A_A S22 T44 D63
1rif:A:A1	A_A Q67 V273
3vpb:A:A1	A_A D237 E250
4dmz:B:B1_B2_B3_B4_B5	B_B S162 S163:B_B L191 Q194 Y195:B_B V245 S259 L261:B_B N377 D378 G447 L448 N449 Q452:B_B D430 N433
2c43:A:A1	A_A D139 M141 E191
3gyg:A:A1	A_A D25 D27 D232
5ar3:A:A1	A_A N151 D164
4zgn:A:A1	A_A W99 D239 N241
2gfq:A:A1	A_A H92 H141 F152 E154
2h7x:A:A1	A_A H254 D256
2fq1:A:A1_A2	A_A H154 E185:A_A D227 G242 D244
3tva:A:A1	A_A E155 D181 H208 E256
4u9u:A:A1	A_A K143 Y188 R315 M317
2pza:A:A1	A_A D51 E163
5c0p:A:A1	A_A D109 H286
3dgt:A:A1	A_A D16 G66 D269
4lsb:B:B1	B_B S50 D61 E89
3vc2:A:A1	A_A N37 E81
2y7f:D:D1	D_D D61 E65
1xr1:A:A1	A_A N172 D186
5ds5:B:B1	B_B E141 H208 D221
3r7w:A:A1	A_A S20 T41
2isi:A:A1	A_A D70 E96
3fqn:A:A1_A2	A_A H151 A153 E154:A_A E19 Q72
1dqv:A:A1_A2_A3_A4	A_A D328 D386 D388:A_A D328 D334 F387:A_A D388 S391 R392:A_A D460 D466
2hx1:A:A1	A_A D19 F21 D232
3k4z:A:A1_A2	A_A T21 D23 N53 K54 D166:A_A E19 E24
4yo7:A:A1	A_A L250 V253 D274
4uhd:A:A1	A_A A234 I237 S240
4od5:B:B1	B_B D54 D58 K119
4h54:A:A1	A_A D165 I166 E208 K277
4toq:A:A1_A2	A_A C50 T56:A_A T208 S248
5cbk:A:A1	A_A S6 N9
1mru:B:B1_B2	B_B D156 G158:B_B A142 N143
1rkq:A:A1	A_A D10 D12 D221
5ck3:B:B1	B_B T64 H105 T106 S107
2x4d:A:A1	A_A D17 S19 D214
4ggm:X:X1	X_X E123 G124
4awy:B:B1_B2_B3_B4	B_B P89 Q90 A91 G92 P93 S124 E127:B_B A42 N98:B_B A266 Y293:B_B T145 R148 D152
3da3:A:A1_B1	A_A S47 N49:A_B P28 F44
2gxa:A:A1	A_A S440 D479
2g0w:A:A1	A_A E142 D172 Q198 E248
4ml9:A:A1	A_A H137 H139 E236
4dbh:B:B1	B_B E116 E118 D147
1rlm:A:A1	A_A D9 D11 D215 S216
3r4c:A:A1	A_A D8 D10 D208
4ged:A:A1	A_A E69 S72 G80 S81 S86 E92
3fcx:A:A1	A_A H153 I157 I175 P178 D203 A204
4f6t:B:B1	B_B S147 M149
4py5:A:A1	A_A N78 E79
2eb6:A:A1	A_A K61 E106 E108 E139
3d6a:A:A1_A2	A_A T491 L492:A_A S520 Y521
3e48:A:A1	A_A N34 K37
3wc0:A:A1_A2	A_A D29 S75 D76 E77:A_A D29 G30 D76
2xj9:A:A1	A_A S19 Q45 T47
2y4i:B:B1	B_B N791 D803
4g61:A:A1_A2_A3	A_A D88 D91 D209:A_A E70 D88 I90 D91:A_A K36 E70
4gmj:B:B1_B2	B_B D40 E278:B_B D40 E42 D230
4fmo:A:A1	A_A D531 H553
3d19:A:A1	A_A H124 E128 I161 H165 E259
1t0f:A:A1	A_A D114 Q130 V131
2wll:A:A1	A_A T110 V111
3tav:A:A1_A2	A_A D115 H184 E217 E248:A_A D104 D115 E248
3b1v:A:A1	A_A T15 T35
1j7l:A:A1	A_A N195 D208
2ddo:A:A1	A_A Y136 E162
1rdf:E:E1	E_E D12 A14 D186 D190
4zir:A:A1	A_A S47 Q85 D163
2e67:A:A1	A_A D20 D21 H60 H127
3l23:A:A1	A_A H196 D247 H273 E306
1m3u:A:A1	A_A D45 D84 K112
4cfv:B:B1_B2	B_B Y347 L348 Y350 I355:B_B M200 Q203 I206
4q2e:A:A1	A_A D164 D239 D269 G270
4nb4:F:F1	F_F D6 E70
3iiv:B:B1	B_B S48 E101 K222
4nx8:A:A1	A_A D110 E157
3klc:B:B1	B_B R255 E257
1yrb:B:B1	B_B G65 P66 N67 G68
2a3z:B:B1	B_B D172 D198
2hw5:D:D1	D_D A98 E164
4j4h:A:A1	A_A Y129 E245 L247 G248 I249 G250
1x8b:A:A1_A2	A_A N431 D463:A_A N342 R345 G465
3hb0:A:A1	A_A D274 D276 D502 E506
3hhi:A:A1	A_A E88 R91
1oh9:A:A1	A_A N160 D162
3ppi:A:A1	A_A A49 G53 A56
2cje:A:A1_A2_A3	A_A E48 E51:A_A E48 E51 E76 D79:A_A E51 E76
3syn:A:A1	A_A T189 D213 D259
4pxx:A:A1	A_A H3 W5 H64
2q7e:A:A1	A_A E396 S399
3ilf:A:A1	A_A D51 A69 F70
3oi7:A:A1	A_A T16 S19 T25 R69
3gyb:A:A1	A_A D270 D287 S289
1k77:A:A1_A2	A_A E143 D178 Q204 R211 E240:A_A V185 D186
4xep:A:A1	A_A D8 D9 N92
4twk:A:A1	A_A G113 H126 G260
4oo1:E:E1	E_E D81 I82 Q85 D87
3kws:A:A1	A_A E190 D223 H249 E287
3jyy:A:A1_A2	A_A D40 E42:A_A D40 E42 E89
1wvc:A:A1	A_A R15 D131 D236
5djg:A:A1	A_A E73 D91 L93
1yns:A:A1	A_A D16 E18 D212
4rml:A:A1	A_A V435 D436
2ved:B:B1	B_B M1055 S1056 D1157 T1158
4hql:A:A1	A_A S52 S54 T127
1h65:A:A1	A_A S53 E73
3vk5:A:B1	A_B L137 A138 F140
1kny:A:A1	A_A S39 D50 E52
2rcy:A:A1	A_A K203 V206
4x7u:A:A1	A_A D189 D216 D217
1p8k:Z:Z1_B1	Z_Z G15 E148 Q171:Z_B D16 E146 A147
3bp1:A:A1	A_A T63 Y65 R258 D266 R283 Q287
3teb:A:A1	A_A H9 E39 D253
4fva:B:B1	B_B D128 E158
4hzd:A:A1	A_A A232 G233 S234 A247 G248
3lmi:C:C1	C_C K722 Q758
3e4o:A:A1	A_A A115 A118 E119 A120
3qur:A:A1	A_A D150 A212 K216
3rmv:A:A1	A_A H151 E155
3onn:A:A1	A_A D36 D38 D203
4oec:A:A1	A_A E39 D41 E106
1mow:A:A1_A2_A3	A_A D21 G116:A_A G20 D21 G116 D117:A_A G20 D117
4fi3:C:C1	C_C S40 Q80 Q159
2pk0:A:A1_A2	A_A D36 G37:A_A D36 D192 D231
4yki:A:A1	A_A D110 E213
1hbn:F:F1	F_F E34 D35 K38
3ocu:A:A1	A_A D64 N66 D181
3qy6:A:A1	A_A H42 H196
4ied:C:C1_C2	C_C N134 E136:C_C S57 V108
3zdb:A:A1	A_A A172 I185
2d2f:A:A1_A2	A_A K42 S43 T170:A_A G36 P37 N38 G39 A40 K42
4uav:A:A1	A_A D82 D84 D258
3cma:C:C1	C_C K85 G86
3th1:A:A1	A_A T239 D241
3huj:H:H1	H_H G28 D30
4biw:A:A1	A_A N360 R363
1txu:A:A1	A_A D274 H297
1iru:G:G1_G2_G3	G_G V45 V46 S214 W215 V216:G_G H120 T123 S154:G_G L179 E192 K195 I196
4jav:B:B1	B_B N379 N380 K383 G445
4q57:B:B1	B_B N122 D123
2izo:C:C1	C_C T23 S25 I27 H39
1s2o:A:A1	A_A D9 D11 D186
1ryp:A:A1_A2	A_A T17 Y128 R131 A132 M134:A_A A132 Y133
3qy8:A:A1	A_A H7 D14 H42 H201
1twy:A:A1	A_A G164 T166
4v02:B:B1	B_B T17 I41
5bnc:B:B1	B_B D75 S143 S146
3adc:A:A1	A_A S14 D74
1nui:A:A1_A2	A_A E157 D207:A_A R84 D237
1gqc:A:A1	A_A Q96 D98 E99
4d05:B:B1	B_B F97 F106 H157
1eo3:A:A1_A2	A_A E45 D74:A_A D74 I91
4jej:A:A1_A2	A_A G208 G209 G210 I211 V229:A_A I211 I230 T232 A233
4nst:D:D1	D_D Q37 L41
3ks6:A:A1	A_A E34 D36 E104
3s70:A:A1	A_A R260 G271
5aup:I:I1	I_I S34 D57
1dek:A:A1	A_A Y42 Q85 C88 E108
1h7q:A:A1	A_A H117 E119
3rnl:A:A1	A_A S26 H28 I31
4pkd:B:B1	B_B L151 W154
4knw:B:B1	B_B D14 D16 N17 D191 T192
3ea0:B:B1	B_B S16 S40 G124
4h0i:A:A1_A2	A_A S171 N172:A_A Y61 K66
4ww9:A:A1	A_A V30 K52 D182
3c8c:A:A1	A_A V274 E277
3luf:A:A1_A2	A_A D130 D174 Y176:A_A D10 D53 T55
1yw0:A:A1_A2	A_A A36 Q37 Q38 I52:A_A F126 Q127 S128
4qn0:A:A1	A_A H148 N180
1gkb:A:A1	A_A L107 N131
2gqs:A:A1_A2	A_A E90 D129:A_A E90 D129
4rus:A:A1	A_A D86 S150
1qb7:A:A1	A_A F79 D146 T154
3ckg:A:A1	A_A L186 T198 A199
2reu:A:A1	A_A N187 F189
4unf:A:A1_A2	A_A I115 K116 A118 G120 G121:A_A T140 L142 V145
2dkg:A:A1	A_A N103 D104
3cvj:A:A1	A_A H53 E57
3iqv:A:A1	A_A E35 E110
3tlx:A:A1_A2	A_A Q187 R188 E189 N192:A_A H239 G242
4zmi:A:A1	A_A L294 L297 Y299
3peg:A:A1	A_A P1629 S1630 N1784
1wzc:A:A1	A_A D8 D10 S169 D204
3wew:A:A1	A_A N65 I67 Y206 V208
2npn:A:A1	A_A Y218 L249
3dv9:A:A1	A_A D26 D28 E62 N187
2br3:B:B1	B_B L64 K65 E186 Q223
2ars:A:A1	A_A K135 T137 D138 G148 A149
2a5z:A:A1	A_A D54 F88 G89 D247
3c5h:A:A1	A_A S36 E95
3pu9:A:A1_A2	A_A D43 D161 D211:A_A D43 G44 G46
1fx4:A:A1	A_A D894 D937
1x07:A:A1	A_A D26 R77
5c12:A:A1_A2	A_A D244 D247 D296:A_A D244 D247 D444
1dqn:A:A1	A_A D125 E126
3vay:A:A1	A_A D8 D10 D180
3f79:E:E1	E_E D192 D210 V211 G213 D336 D382
4ffd:A:A1	A_A D8 L10 D180
3no3:A:A1	A_A E59 D61 E123
1vr0:A:A1	A_A D26 G146 D155
3fpa:A:A1	A_A T16 D49 E108
3bk5:A:A1	A_A K2 H125 K127 D128
4een:A:A1	A_A D12 D14 D171
1xd3:A:A1_A2	A_A K108 D109:A_A K21 G24 L25 E114
1g69:B:B1	B_B K1061 D1093 D1112
4fyp:A:A1	A_A D124 D126 D245
2pke:A:A1	A_A D18 D20 N186
3goc:A:A1_A2	A_A D46 D217:A_A D46 D114
3u4m:A:A1	A_A A33 A35 F37 E39
1jyl:A:A1	A_A D107 E216 D218
1qr0:A:A1	A_A D107 E109 E151
5d1r:A:A1	A_A N109 P110 A111 R112
4g9b:A:A1	A_A D9 D11 D172
1dbr:A:A1	A_A E146 D147 I148
3s7z:B:B1	B_B E227 W229 T232
3vzx:A:A1_A2	A_A R56 F58:A_A E45 D46
2j4j:F:F1	F_F R48 T180 Y181
2j7q:A:A1	A_A P41 D44 S47
2om6:B:B1	B_B D10 W12
3qnm:A:A1	A_A D9 D11 D185
4yds:A:A1	A_A S34 E57 D122
3qlz:A:A1_A2	A_A S97 L98 R99:A_A F81 D82 R86 H94
4uw9:A:A1	A_A D7 D9 V11 E178 D179
4y7u:A:A1_A2	A_A R13 K23 D107 D205 G207:A_A G9 K10
3qxc:A:A1	A_A T14 D50 E116
1jls:B:B1	B_B V111 R112 A113
1a82:A:A1	A_A T16 D54 E115
3vmq:A:A1	A_A D111 T115 G131 T133 Q136
3umb:A:A1_A2	A_A D42 D46:A_A A77 N80
3o3f:A:A1	A_A D18 E19
2as8:A:A1	A_A D56 L57 E59 E91
2ici:A:A1	A_A H179 H217 D219
1u02:A:A1	A_A D7 D9 D179
4qhz:A:A1	A_A N137 S138 E147 Q149 Q246
2hcf:A:A1	A_A D9 D11 D177
2i6k:A:A1_A2	A_A C86 E115:A_A E97 S99
4v19:Q:Q1	Q_Q H181 L183 F185
3crc:B:B1	B_B E172 E175 E193 D196
4i5q:A:A1	A_A S22 V24 M27
1c1o:A:A1	A_A Q30 G43 S139 G140 D194 G197
4s04:A:A1	A_A D8 D51 G53
3ct7:A:A1	A_A H30 D32 H63 M65 D173
2bgw:A:A1	A_A D52 E62 R63
3n4q:C:C1_D1	C_C D439 E618:C_D N447 T448
1k6d:B:B1	B_B M27 H77 I78 G79 T80
2nuf:A:A1_A2	A_A D44 E110:A_A E40 D107 E110
1d2i:A:A1	A_A D84 V94
2gx2:E:E1_E2	E_E Y115 I117:E_E E26 G27 K43
2wag:A:A1	A_A Y150 I154 K155 D156 A157 D176 R178
1k4i:A:A1	A_A E37 H153
1wyw:A:A1_A2	A_A Q283 D284 K285 V286 H287 Y313:A_A I136 G138 Y152 T190 N191
4r5q:A:A1	A_A D123 E136 I137 H146
3v8e:A:A1	A_A P16 G18 T21
4ygr:A:A1	A_A D7 D9 D166
4lps:A:A1	A_A T60 D86 E135
4usx:C:C1_C2	C_C A835 G837 A846:C_C Y727 G731 T732
3tiq:B:B1_B2_B3_B4	B_B P420 N470:B_B K469 P471 G474:B_B K421 N470 P471:B_B T516 G517 V550 K551
1rep:C:C1	C_C E77 D81
3sh1:A:A1	A_A D-3 H1
1so3:A:A1	A_A E33 D62 K64
4ev0:A:A1	A_A E103 D104
1xrj:B:B1	B_B S34 S60 D62 E135
2ywr:A:A1	A_A G12 S13 N14 A87
4q04:A:A1	A_A D61 D63 S65 T67
2ply:A:A1_A2_E1	A_A Y458 R461:A_A H555 R559:A_E R599 S604
1z72:B:B1	B_B F38 A39 A158 L159 P160
3kd3:A:A1	A_A D7 D9 D169
3mel:A:A1_A2	A_A D30 D49 D51 D79:A_A N166 S200
3gnz:P:P1	P_P D93 H101 D104
5a5y:A:A1	A_A E4 E169
3pnl:B:B2_B1	B_B D30 D35 D37:B_B D35 D37 R178
4kgk:A:A1_A2	A_A D30 G31 D75:A_A D30 D75
4l0j:A:A1_A2_A3_A4	A_A T632 A633 S761 A767 L768:A_A M631 P759 V760 S761:A_A K723 I724 P725 L768 K769:A_A D743 P759 V760
1yun:B:B1	B_B H16 S178 A179
2hsj:B:B1_B2	B_B A161 Y164 V167:B_B K85 Y211
4nji:A:A1	A_A R27 T51
1n9k:A:A1	A_A D44 D46 D167
3nh1:A:A1	A_A D23 E25 H181 D186
3cbt:A:A1	A_A N133 D149 D153
5a65:A:A1_A2	A_A E157 E159:A_A R125 D145 E159
4fvu:A:A1	A_A D389 Q462 D466
4fpp:B:B1	B_B R30 D34 Q134
2g7f:A:A1	A_A E79 N127
3eja:A:A1	A_A H1 Y67 H68 Y153
1g3u:A:A1	A_A D9 E166
3keo:B:B2_B3	B_B D81 H105 M110:B_B L118 D119 S120
4cog:A:A1	A_A D60 D62
3ajx:A:A1	A_A E1030 D1059 K1061 E1132 H1134
4qi3:A:A1	A_A G149 Q186
4rzu:B:B1	B_B S18 D92
1rku:A:A1	A_A D7 E9 D152
3ake:A:A1	A_A A12 G14 K15 S16
3kzq:B:B1_B2_B3	B_B W17 T72 K73:B_B G18 P21 T72:B_B A180 Y181 F182
1k5d:A:A1	A_A T24 T42
4dfd:A:A1	A_A D12 G14 D176
2c71:A:A1	A_A D488 H539
3btx:A:A1	A_A H171 D173 H236
2ofw:C:C1	C_C T66 D89
2go7:A:A1	A_A D9 D11 D164
4nkb:A:A1_A2	A_A R470 R471:A_A A478 Q479
3dc7:B:B1	B_B S160 D161
3uwk:A:A1	A_A E158 D159
1khz:B:B1_B2_B3	B_B E112 E116 E164:B_B E112 E162:B_B A96 E116 E164
3bbx:E:E1_E2_E3	E_E R49 A50 E51 V52:E_E A68 R69 S70:E_E K58 R69 S70 G71
5byg:B:B1	B_B E83 H90 H92
3dkx:C:C1	C_C D129 V132
3fr6:A:A1	A_A Q71 S72 Q73
3ibs:A:A1	A_A S15 S17
4m4q:A:A1	A_A Y24 E80
3bl5:E:E1	E_E G13 D15 S16
3gf0:A:A1_A2	A_A I42 E93 G95:A_A Q115 G116
1iru:K:J3	K_J N82 R85
3w40:A:A1	A_A D44 D156 D189
4rn3:A:A1	A_A D16 D18 D173 D177
2p97:A:A1	A_A H66 D136 D180
3hy6:A:A1_A2_A3_A4_A5_A6_A7_A8_A9_A10_A11	A_A R84 F85 Q86:A_A R29 Q59 E61:A_A H89 M90 R159:A_A L104 P105 K106:A_A C180 L181:A_A D91 M92 E122 A123 L124 Y156 R159:A_A R145 D154 D189:A_A N144 V185 D189 K191:A_A E45 S49 D130:A_A E96 E100 R120:A_A Y197 E198
4nxi:B:B1	B_B H43 E79
4rck:A:A1	A_A S25 S27 Q99 T101
3c6a:A:A1	A_A D398 C399 S400 Y407 D539
3lac:B:B1_B2	B_B S133 V134:B_B P75 P182 S183
3k4i:B:C1	B_C D24 E200
2jao:A:A1	A_A N12 D14 D147
2fbx:A:A1	A_A D82 E84 D216
4kft:A:A1	A_A S18 E49
2dsc:A:A1	A_A A96 E116 E166
3qbm:A:A1	A_A I110 D113
3syy:A:A1_A2	A_A D102 E112 I113:A_A S100 D102 E112 Q137
3r09:A:A1	A_A D12 D14 D152 D156
2j4e:C:C1	C_C L42 E44
2jcb:A:A1	A_A K5 D144 D173
4dkw:A:A1	A_A D321 D459
4qqf:C:C1	C_C G220 D222
3t1o:A:A1_A2_A3_A4	A_A G21 K25 V79 P80 G81 V83:A_A D104 S105 A106 R109 L110 N113 L149:A_A R121 L124 A125 L129 T130:A_A G42 E43 F57 D58
1pt6:A:A1	A_A S152 S154 D253
1nrj:B:B1_B2	B_B T52 S69:B_B A215 L217
1svw:A:A1	A_A K36 S37 T59 D75 V76
3zc0:A:A1	A_A E83 E118
1js9:C:C1	C_C E84 T145
1cjk:A:A1	A_A D396 D440
3ir2:A:A1	A_A E209 H367
3o6z:B:B1_B2	B_B E100 E104 E151:B_B A85 E104 E151
4uyr:A:A1	A_A H7 G34 T35 S36 S69
4f5d:A:A1	A_A G166 R232 R238 Y240
3c5p:A:A1_A2	A_A P126 D128 D148 L182:A_A D148 A181 G183 G184 N185 D187
4k6t:B:B1	B_B K212 E365
3gah:A:A1	A_A P76 A77 D79 H82
4ols:D:D1	D_D W263 H264 G266 N275
3bc1:A:A1	A_A T23 T41
4oxd:A:A1	A_A S121 T124
2vrn:A:A1	A_A E179 E182 H185
5dzq:O:O1	O_O N177 G179 S180
4ott:B:B1	B_B E508 E523 D568
2yvm:A:A1_A2	A_A E90 E94 E139:A_A A74 E94 E139
1f51:D:H1	D_H H630 N634
5aby:C:C1	C_C M96 E98
3hyc:A:A1_B1	A_A D32 D34 D125:A_B V56 S187
4cw7:A:A1	A_A D163 E166
4dmb:A:A1_A2	A_A H49 H77 D78 D143:A_A E81 D86
3djb:A:A1	A_A H29 H58 D59 D122
1nfs:B:B1	B_B C67 R83 E87
3lgy:A:A1	A_A Q170 D193
1t57:A:A1_B1	A_A V122 P184 R185 P186:A_B R176 I177
2ybb:2:21	2_2 S68 V122 E123
3nz2:C:C1	C_C N159 V161 T175
2fa9:B:B1	B_B T39 E62
1qhx:A:A1	A_A K16 S17 D37 D92
3q46:A:A1_A2	A_A D66 D71 D103:A_A D98 D103
2x6v:A:A1	A_A H59 E60 S86 K88
2yc4:C:C1	C_C V102 S103 S104 M105 Q143 H145 Q146
1iwl:A:A1	A_A H17 D38 W40
3dze:A:A1	A_A G34 T68
3iil:A:A1	A_A P-2 E-1
3feu:A:A1	A_A E74 V77 G79
3ec2:A:A1	A_A T93 D148
4wqk:A:A1_A2	A_A D44 D46:A_A D44 D46 D86
4af5:A:A1	A_A N77 E181
3l8h:A:A1	A_A D7 D9 D126
2m2u:A:A1_A2	A_A D49 D51 D100:A_A D49 V50 D51
2j4h:A:A1	A_A A121 V122 T123 A124 H125
3ka3:A:A1_A2_A3	A_A E57 E136 D140:A_A E58 E103 Q137 D140:A_A H61 E136 Q137
2qt0:A:A1	A_A T17 D36
4dsc:A:A1	A_A F132 Y144 S146 E170
4u8d:A:A1_A2	A_A D83 D85 S87 T89:A_A D113 D115 S117 T119
4oz6:A:A1	A_A I94 D95 I97 V169
2eb1:A:A1	A_A E47 D152 E155
2fyr:A:A1	A_A G102 G119 M120
3vnp:A:A1_B1	A_A H64 H86:A_B Q58 H81
2eh3:A:A1_A2	A_A E75 E78:A_A E78 E82
5dok:A:A1	A_A G187 E188 R191 S339 Y340
2iyx:A:A1_A2	A_A E38 S44 I45:A_A T17 R20
3q4o:A:A1	A_A E28 E54 H57
4r9m:A:A1	A_A E35 E76
4hut:B:B1	B_B T42 K66 E128
3hm2:G:G1	G_G E57 E60
5dmp:A:A1	A_A H40 H46 D48
4yn0:A:A1	A_A C150 P151 W154 S177 V179
1aih:C:C1	C_C Y259 E263
2vzb:A:A1	A_A E54 H58 D152
3mmh:A:A1_A2_A3_A4_A5_A6	A_A A37 A40 Q70:A_A L4 A41 V42 E45:A_A T30 D31 W32 N35 R159 S163:A_A K11 W49 Q140 F141 D145:A_A V97 G98 S115 A139 Q140 F141:A_A V25 N35 N38
2xs4:A:A1	A_A S75 S78
4gp7:A:A1	A_A S22 R123
2a5l:A:A1	A_A K195 S198
3kb2:B:B1	B_B S15 D61
4ep4:B:B1	B_B D7 H143
3las:B:B1	B_B I58 R60
1c9k:C:C1	C_C S13 E80
2jkg:A:A1	A_A P91 D92
3sb5:A:A1_A2	A_A T142 N144 R145:A_A F114 S117 N132
3hnm:A:A1	A_A S43 L44 D46 N48 T51 G158 E159
1u7p:A:A1	A_A D11 D13 D123
4reu:D:D1	D_D E79 E85
4r82:A:A1	A_A F49 T50
2f1f:A:A1	A_A E10 E12
4hec:B:B1	B_B D7 T8 D96
1xz8:A:A1	A_A D104 D105 V106
3bwv:A:A1	A_A D9 D11 D135
2ox6:A:A1	A_A H32 E36
1evw:B:B1	B_B S97 H98 H101 N119
4xc5:A:A1	A_A N375 S376 T454
2z90:A:A1	A_A N48 D51
3chm:A:A1	A_A F42 S43 A70 R160
1zno:B:B1	B_B E49 N70
1xbt:A:A1	A_A S33 R60
4ktz:A:A1	A_A N8 E71
1rya:A:A1	A_A G50 E70 Q123
4crj:A:A1_A2	A_A D95 D97:A_A D95 D97
1su2:A:A1_A2	A_A L13 R14 A51:A_A A15 S49 G50 R95
5b8f:A:A1	A_A D8 H10 H42
3e54:B:C1	B_C E219 Q246
4s2x:A:A1_A2	A_A E54 E57 E58 E121:A_A Q38 E58 E121
4jzv:A:A1_A2	A_A G52 G53 E68 E72 E115:A_A E68 E72 E115
1htw:A:A1_A2	A_A T47 E113:A_A G40 D41
1y9i:A:A1	A_A D98 T141 D144 D145
2nog:A:A1	A_A A853 V856 K859
3p1g:A:A1	A_A D524 E562 D583
2qnc:A:A1	A_A D40 D62 E65
4kg0:A:A1	A_A N116 E130
4eru:A:A1_A2	A_A L24 H47 E110 E113 E143:A_A E21 Q54 E113 E143
2yzj:B:B1	B_B L96 I97 T98 P112
1h56:A:A1	A_A D58 E68 K70
2fpr:A:A1	A_A D10 D12 D131
1i94:E:E1	E_E T120 K121 E122
1cw0:A:N1_A1	A_N R49 D51:A_A D51 T63
4wh5:A:A1_A2	A_A D46 D48:A_A G29 G30 D46 D48
1sof:A:A1	A_A D132 E135
1rdd:A:A1	A_A D10 G11 N44 E48
1nzi:A:A1	A_A E45 D53 D98
2fco:A:A1	A_A A82 T84 T85 D86 E99 Q118
1v8u:A:A1	A_A R81 Q82
2z51:A:A1	A_A N35 E69
4xzu:M:M1	M_M Y2195 Q2222
4v19:R:R1	R_R S10 R13
4wrk:D:D1	D_D D28 Q136
3n1g:A:A1	A_A T100 R102 R145 V186 K187 A188 D189
4i3m:A:A1	A_A G126 Q127
2okv:B:B1	B_B V4 V5 Q6 C28 L30
5f49:A:A1	A_A E18 N53 N55
2b06:A:A1	A_A G42 G43 E62 E105
1q9s:A:A1	A_A T34 N36
1yv0:C:C1_C2	C_C N107 D109 D113 E116:C_C N143 D145 I148 D149 E152
3ild:A:A1	A_A H77 D79
1wpv:A:A1	A_A H73 H77
2kw4:A:A1	A_A D8 T11 D12 D77 A79 F112
4gdz:A:A1	A_A N168 P169 N172 S173 N174
4ijx:A:A1	A_A D50 E53
3wxx:G:G1	G_G L17 G20 G21 H65 Y66
3fws:B:B1	B_B G109 S125 R126
1id0:A:A1	A_A N385 Q442
4mpo:A:A1_A2	A_A E59 E63 E111:A_A K43 E63 E111
4f0y:B:B1	B_B E78 D114
4wce:G:G1_G2	G_G M1 R2:G_G F65 R94
3mmn:A:A1	A_A D993 D1050 Q1052
3pn7:E:E1	E_E D33 N35 D37 F39 I40 D41 D44
3ow2:K:K1	K_K R27 E39
3s9f:A:A1_A2_A3_A4	A_A T111 L112 T125 R126 A127 R128:A_A R15 F77 P90 F91:A_A N93 N95 I96:A_A H7 E10 A11
1kxg:A:A1	A_A R214 K252
2huh:A:A1	A_A S203 F206
3cnx:B:B1	B_B E25 F89
4gwi:A:A1	A_A Q54 D97
3bbx:L:L1	L_L S42 G43
2q0y:A:A1_A2	A_A H126 E145:A_A C7 D9
3ogh:B:B1	B_B E18 Q52 E107 E137
4eo7:A:A1	A_A P279 K282
4ofa:A:A1	A_A I532 L534 I537
3m7k:A:A1	A_A D92 N113
1jj2:X:X1	X_X H133 K136 K137 V139
1nul:A:A1	A_A D88 D89
4lpl:A:A1	A_A T1009 K1095
2zs1:B:B1	B_B D55 S56
3n1e:B:B1_B2_B3	B_B T946 W973:B_B D835 Q836:B_B P940 Q941
2wcj:A:A1_A2	A_A D31 E32:A_A N72 E75
1y23:B:B1	B_B R141 S144
1l0o:B:B1	B_B T49 N50
4pdn:A:A1	A_A H59 H63 E98
5flx:X:X1	X_X H110 A111
2h1c:A:A1_A2_A3	A_A L3 L4 L35 S36 T39:A_A R44 A48 H60:A_A S36 L76 P77 F78 T110
3ddv:B:B1	B_B S21 Y129 R131
2qnd:A:A1	A_A E12 E42
3fes:A:A1	A_A T6 R8 G103 T104
4aqy:H:H1	H_H R14 H82 I83
3i2b:A:A1	A_A D116 Y142
2qg8:A:A1	A_A D30 E92
3h87:A:A1	A_A D99 D117 D119
4euk:A:A1	A_A E784 D785 D828 C830
4rrk:A:A1	A_A S133 F134
2iaf:A:A1	A_A L79 D80 N82
4nmu:D:D1	D_D K45 E48
4p9d:B:B1	B_B P46 N52
4hvy:A:A1	A_A A48 V49 F50 V57 L58 L73 P74
1zbi:A:A1_A2	A_A D71 E109 N132:A_A D71 E188 D192
2o3b:B:A1	B_A E24 T135
2hx0:A:A1	A_A H84 H86 H100
2xo6:A:A1	A_A P7 E9 E123
3fm5:C:C1	C_C D134 Q137
